market,feature,mean_abs_shap
Market A,global_pred_feature,48.638265432900596
Market A,target_profile_mhd_std,3.2791057636451835
Market A,wind_forecast_lag_2,2.605784546094443
Market A,net_load_share,1.325038383513354
Market A,solar_share,1.2084532537466832
Market A,residual_load_diff_24,1.0394975494602372
Market A,wind_dir_cos,1.0018743609031098
Market A,wind_forecast_lag_1,0.9781687040333976
Market A,solar_forecast_roll_std_72,0.9709138492682531
Market A,air_temperature_2m_xmk_z,0.9164260525678162
Market A,residual_load_xmk_mean,0.8783572581697102
Market A,wind_share,0.8754488793873173
Market A,wind_gust_speed_10m,0.7856543689148334
Market A,solar_forecast_diff_24,0.729862330374756
Market A,diffuse_horizontal_irradiance,0.7197754194586211
Market A,wind_forecast_lag_6,0.7158424841591343
Market A,air_temperature_2m,0.703782675967821
Market A,solar_forecast_roll_mean_72,0.6803154262603769
Market A,wind_forecast,0.6692889591426088
Market A,residual_load_lag_6,0.6616238770074401
Market A,load_forecast_diff_24,0.6383740347919178
Market A,month_cos,0.6126837903599182
Market A,solar_forecast_lag_24,0.6096815165245764
Market A,residual_load_roll_std_72,0.6012478730213414
Market A,load_forecast_roll_std_72,0.5988098963073325
Market A,target_profile_mhd_mean,0.5872925123346487
Market A,wind_direction_80m,0.5789090789491194
Market A,cloud_cover_total_xmk_z,0.5772873878760304
Market A,residual_load_roll_std_24,0.5624842690167257
Market A,load_forecast_roll_mean_72,0.5542997904734667
Market A,residual_load_lag_2,0.546915663830996
Market A,wind_speed_10m,0.5446994060851779
Market A,wind_forecast_roll_std_6,0.5371883645729733
Market A,wind_forecast_diff_24,0.53079330694203
Market A,air_temperature_2m_xmk_diff,0.5307310733437636
Market A,wind_forecast_roll_mean_6,0.49948906602793286
Market A,residual_load_lag_168,0.48190443902440117
Market A,load_forecast_lag_168,0.4792567298048087
Market A,wind_forecast_lag_24,0.4702633627638852
Market A,solar_forecast_roll_mean_6,0.46533422570436384
Market A,temp_apparent_gap,0.45957567753252276
Market A,wind_forecast_xmk_mean,0.4512746182150905
Market A,residual_load,0.44948751395394176
Market A,lifted_index,0.4326285633099334
Market A,solar_forecast_lag_2,0.4318248906883814
Market A,solar_forecast_lag_6,0.43140891166977624
Market A,ws80_above_rated,0.42452279260874853
Market A,residual_load_lag_1,0.3956387337594154
Market A,residual_load_lag_24,0.39016380733408335
Market A,wind_dir_sin,0.3816626399734929
Market A,residual_load_diff_1,0.3813232217558773
Market A,target_profile_mh_mean,0.3785990733783852
Market A,wind_speed_80m_xmk_diff,0.37656330726755116
Market A,weekofyear,0.37382102459669747
Market A,temp_dew_spread,0.37363120758412544
Market A,direct_normal_irradiance,0.36985381715561627
Market A,stress_ratio_sq,0.3628214568473828
Market A,air_temperature_2m_xmk_std,0.36098885870520847
Market A,wind_forecast_roll_mean_72,0.35209175773553775
Market A,cloud_x_solar,0.35026287717594123
Market A,wet_bulb_temperature_2m,0.34760884017466864
Market A,solar_forecast_roll_std_24,0.3461172411402588
Market A,wind_forecast_diff_1,0.3444191579666189
Market A,solar_forecast_xmk_mean,0.34422012668961244
Market A,solar_forecast_roll_mean_24,0.3401178780060736
Market A,ws_ratio_80_10,0.3367784113965383
Market A,residual_load_roll_mean_24,0.32434960896799053
Market A,cloud_cover_total_xmk_std,0.32365345269813095
Market A,surface_pressure,0.32363911769434034
Market A,dew_point_temperature_2m,0.3205398254543443
Market A,residual_load_diff_6,0.31544385459043517
Market A,wind_speed_80m_xmk_z,0.3145528921694647
Market A,wind_speed_80m,0.3107386002500689
Market A,load_forecast_roll_mean_24,0.3099707162347821
Market A,load_forecast_diff_1,0.30846934388272435
Market A,cloud_cover_total_xmk_mean,0.30764505460459296
Market A,wind_forecast_diff_6,0.3051359482214274
Market A,ws80_above_cutin,0.30014917254504553
Market A,residual_load_sq,0.2995290286944394
Market A,stress_ratio,0.29703512966126155
Market A,air_temperature_2m_xmk_mean,0.2967642938250675
Market A,target_profile_mh_std,0.2945177170284044
Market A,gust_ratio_10m,0.2941426883461476
Market A,wind_speed_80m_xmk_std,0.28994434036605704
Market A,ws80_cu,0.28818990468786815
Market A,cloud_cover_total,0.28673875514564084
Market A,hour_sin,0.2846650836546694
Market A,wind_forecast_roll_mean_24,0.2810100505181445
Market A,solar_forecast_roll_std_6,0.28093076409809137
Market A,convective_inhibition,0.2763750732173388
Market A,relative_humidity_2m,0.26858955083694375
Market A,load_forecast_roll_std_24,0.26684561791951666
Market A,wind_forecast_roll_std_72,0.26312880616069795
Market A,dow_x_market,0.26199888710817365
Market A,wind_speed_80m_xmk_mean,0.26063769174043777
Market A,visibility,0.25927016919825674
Market A,wind_forecast_lag_168,0.2591913365414393
Market A,hour,0.2520953030647161
Market A,gustiness_10m,0.25203543342164464
Market A,load_forecast_lag_48,0.24946142119959153
Market A,residual_load_lag_48,0.24607461303658507
Market A,wind_forecast_lag_48,0.2433224032058529
Market A,solar_forecast_lag_48,0.22730756921627848
Market A,ws80_sq,0.22206304220515308
Market A,freezing_level_height,0.21737938981860164
Market A,load_forecast_diff_6,0.2169494750676083
Market A,wind_forecast_roll_std_24,0.2118675262335988
Market A,dow_sin,0.21177636517969348
Market A,solar_forecast,0.2027986173597137
Market A,residual_load_roll_mean_72,0.19974756904122756
Market A,convective_available_potential_energy,0.19579608578595495
Market A,clear_sky_proxy,0.1945579099077804
Market A,load_forecast_lag_1,0.19191712224198176
Market A,wind80_x_residual_load,0.19046233191518178
Market A,apparent_temperature_2m,0.18139706916637138
Market A,residual_load_roll_std_6,0.17356125130226868
Market A,residual_load_roll_mean_6,0.1677270758393799
Market A,solar_forecast_lag_1,0.16683455778700093
Market A,load_forecast_lag_6,0.16644826805099208
Market A,solar_forecast_lag_168,0.16323740994671468
Market A,solar_forecast_diff_6,0.16039578666933377
Market A,load_forecast_lag_2,0.14608100446976782
Market A,month_sin,0.14263000603734177
Market A,hour_x_market,0.1416947460771471
Market A,load_forecast_roll_std_6,0.1375643983793373
Market A,month_x_market,0.13505336460828438
Market A,cloud_cover_mid,0.1297606702539467
Market A,dow,0.12532535570054826
Market A,load_forecast_roll_mean_6,0.12296544416269675
Market A,cloud_cover_high,0.12126021038076201
Market A,global_horizontal_irradiance,0.12118549715494847
Market A,load_forecast_lag_24,0.11917032364577526
Market A,load_forecast_xmk_mean,0.11758043528843595
Market A,dow_cos,0.11064981980274227
Market A,cloud_cover_total_xmk_diff,0.09978730471953105
Market A,load_forecast,0.09667764962941634
Market A,cloud_cover_low,0.09459236410254024
Market A,hour_cos,0.08906241233262613
Market A,solar_forecast_diff_1,0.0766662093458547
Market A,precipitation_amount_xmk_mean,0.0631333941481459
Market A,residual_load_xmk_diff,0.06235644441858134
Market A,month,0.05540003270561223
Market A,stress_ratio_1819,0.04881618895221555
Market A,solar_forecast_xmk_diff,0.041547725838000496
Market A,cloud_low_share,0.03669187393245397
Market A,precipitation_amount_xmk_std,0.03497843587409943
Market A,ws80_medium_cubic,0.032572487868825446
Market A,ws80_bin_cutout,0.032384517204046434
Market A,residual_load_xmk_z,0.029880236434797213
Market A,ws80_high_flat,0.02902856210758034
Market A,solar_forecast_xmk_z,0.023109078845886945
Market A,is_weekend,0.022411179442176295
Market A,residual_load_1819,0.02124941493641159
Market A,precipitation_amount_xmk_z,0.020244773846009503
Market A,ws80_bin_high,0.017752970046354843
Market A,precipitation_amount_xmk_diff,0.016865738313008142
Market A,load_forecast_xmk_diff,0.014936755747297475
Market A,wind_forecast_xmk_diff,0.013823633123336048
Market A,load_forecast_xmk_z,0.00834757439215927
Market A,precipitation_amount,0.005381519464845671
Market A,wind_forecast_xmk_z,0.003507342007845189
Market A,meteo_missing_count,0.002437878087016213
Market A,ws80_bin_low,0.0012308043376428651
Market A,ws80_below_cutin,0.000850071072068544
Market A,market,0.0
Market A,is_morning_peak,0.0
Market A,is_evening_peak,0.0
Market A,is_winter,0.0
Market A,is_18_19,0.0
Market A,is_peak_17_20,0.0
Market A,is_night,0.0
Market A,ws80_bin_medium,0.0
Market A,load_forecast_xmk_std,0.0
Market A,wind_forecast_xmk_std,0.0
Market A,solar_forecast_xmk_std,0.0
Market A,residual_load_xmk_std,0.0
Market A,meteo_missing_any,0.0
Market A,target_profile_m_mean,0.0
Market A,target_profile_m_std,0.0
Market B,global_pred_feature,22.538269329950435
Market B,target_profile_mhd_std,3.7573794835108054
Market B,convective_inhibition,1.0409949700540937
Market B,wind_forecast_lag_1,0.9449682641604126
Market B,load_forecast_roll_std_72,0.8323125207173707
Market B,ws80_cu,0.8321151686322003
Market B,wind_forecast,0.7892857444711907
Market B,wind_share,0.7691174963125098
Market B,wind_dir_cos,0.7140504653656389
Market B,residual_load_lag_2,0.7124709315824844
Market B,wind_forecast_lag_2,0.6893137320481401
Market B,residual_load_lag_6,0.6533546759903455
Market B,wind_speed_80m,0.6273866556083946
Market B,ws80_sq,0.6231450794624886
Market B,solar_forecast_roll_mean_6,0.5859738789545826
Market B,wind_forecast_roll_mean_6,0.5226479154368977
Market B,wind_dir_sin,0.5149858938201615
Market B,wind_forecast_diff_6,0.4912479374311658
Market B,residual_load_diff_1,0.4521848875228844
Market B,solar_forecast_diff_24,0.45078642822857956
Market B,solar_forecast_roll_mean_24,0.4273080574887645
Market B,wind_forecast_xmk_mean,0.42713603839286485
Market B,wind_speed_10m,0.40861657388055356
Market B,surface_pressure,0.4074381857838247
Market B,solar_forecast_lag_24,0.39519142962317844
Market B,wind_forecast_lag_6,0.38521124203279805
Market B,residual_load_sq,0.38458718282325066
Market B,solar_forecast_roll_std_24,0.38321347303514436
Market B,wind_forecast_diff_24,0.3777640807741562
Market B,direct_normal_irradiance,0.37435595830631746
Market B,residual_load_lag_168,0.37195761878520456
Market B,wind_speed_80m_xmk_std,0.3700368873752132
Market B,gustiness_10m,0.36029708156198303
Market B,ws80_above_cutin,0.33319835456644276
Market B,ws80_above_rated,0.3315216340834126
Market B,wind_forecast_roll_mean_72,0.3298993486561807
Market B,freezing_level_height,0.3253207413399562
Market B,dew_point_temperature_2m,0.3247134406478127
Market B,weekofyear,0.3111744630388089
Market B,stress_ratio,0.3079274293588452
Market B,net_load_share,0.2857513984675435
Market B,solar_share,0.28374464371995
Market B,solar_forecast_roll_std_72,0.2761648266992776
Market B,wind_speed_80m_xmk_z,0.2732647301625029
Market B,solar_forecast,0.253137086051388
Market B,solar_forecast_lag_168,0.2521223326657393
Market B,temp_apparent_gap,0.2512993499028841
Market B,target_profile_mhd_mean,0.25015681032418763
Market B,wind_gust_speed_10m,0.24693361021313265
Market B,solar_forecast_lag_1,0.24679308932160599
Market B,wind_forecast_roll_std_24,0.23172766288341112
Market B,residual_load_diff_24,0.23154304010683974
Market B,residual_load,0.2292215661964671
Market B,load_forecast,0.22848229207046836
Market B,load_forecast_roll_mean_72,0.22274036368306016
Market B,solar_forecast_roll_std_6,0.21924677542237542
Market B,residual_load_roll_std_24,0.2188836370525243
Market B,load_forecast_roll_mean_24,0.2131020718480107
Market B,wind80_x_residual_load,0.21001759338848605
Market B,stress_ratio_sq,0.2097423640599301
Market B,residual_load_roll_mean_24,0.20708544072067656
Market B,cloud_cover_total_xmk_mean,0.20462112236704924
Market B,wind_direction_80m,0.20283627972223112
Market B,hour_sin,0.2023816479062021
Market B,diffuse_horizontal_irradiance,0.20211272309375056
Market B,solar_forecast_roll_mean_72,0.2013031744025752
Market B,wind_speed_80m_xmk_diff,0.19927616604663798
Market B,residual_load_diff_6,0.1959036661071655
Market B,wind_speed_80m_xmk_mean,0.193932363375646
Market B,load_forecast_diff_24,0.18944144545056435
Market B,wind_forecast_lag_168,0.1886915906786713
Market B,air_temperature_2m_xmk_z,0.18663430261694874
Market B,global_horizontal_irradiance,0.18474497268078433
Market B,wind_forecast_roll_std_6,0.18395454837073633
Market B,wind_forecast_roll_mean_24,0.18062419271289798
Market B,wind_forecast_lag_48,0.18033967488453242
Market B,load_forecast_roll_std_6,0.17953650283242173
Market B,residual_load_roll_std_72,0.1729277371730804
Market B,target_profile_mh_mean,0.17054543252656207
Market B,load_forecast_lag_24,0.16668449958416162
Market B,load_forecast_lag_6,0.16463617607421324
Market B,residual_load_lag_1,0.16252699930627876
Market B,wind_forecast_diff_1,0.15497152328703315
Market B,wind_forecast_roll_std_72,0.15340044420038912
Market B,load_forecast_roll_std_24,0.14870263804974135
Market B,apparent_temperature_2m,0.14756854941582628
Market B,load_forecast_diff_6,0.1464270296821842
Market B,visibility,0.14582647826329492
Market B,load_forecast_lag_48,0.14546971880443113
Market B,solar_forecast_lag_48,0.14422611041913808
Market B,month_sin,0.14274305838257462
Market B,solar_forecast_lag_2,0.1382264910518429
Market B,solar_forecast_xmk_mean,0.13560197858580125
Market B,clear_sky_proxy,0.13324828722044138
Market B,solar_forecast_lag_6,0.12827673800968856
Market B,air_temperature_2m_xmk_mean,0.12776446192804253
Market B,air_temperature_2m_xmk_std,0.12209313886671495
Market B,solar_forecast_diff_1,0.11904654654743639
Market B,lifted_index,0.11868307746032924
Market B,residual_load_roll_std_6,0.11838043856570776
Market B,cloud_cover_low,0.11812921021659135
Market B,wind_forecast_lag_24,0.11685896241190542
Market B,residual_load_lag_24,0.11322519353554172
Market B,load_forecast_lag_1,0.10982913082547946
Market B,cloud_cover_total_xmk_z,0.10965256903221078
Market B,cloud_cover_total_xmk_diff,0.10776197573679955
Market B,dow_sin,0.10634034734378586
Market B,cloud_cover_total_xmk_std,0.10259708996652815
Market B,load_forecast_diff_1,0.10096793999452752
Market B,air_temperature_2m_xmk_diff,0.10002439705936876
Market B,hour_cos,0.09998189562691699
Market B,cloud_cover_total,0.09614252258236478
Market B,residual_load_roll_mean_72,0.09282846318303749
Market B,residual_load_lag_48,0.09236165126451214
Market B,residual_load_roll_mean_6,0.09148296706846513
Market B,load_forecast_xmk_mean,0.09121204872001294
Market B,solar_forecast_diff_6,0.08952750049208431
Market B,wet_bulb_temperature_2m,0.08630145878973713
Market B,temp_dew_spread,0.08356030295787242
Market B,load_forecast_lag_2,0.08212967105750155
Market B,ws_ratio_80_10,0.07837482651636458
Market B,convective_available_potential_energy,0.07031448681463104
Market B,target_profile_mh_std,0.07027191156034755
Market B,month_cos,0.06969337264190863
Market B,load_forecast_lag_168,0.0690264976847678
Market B,dow_cos,0.06757009477259884
Market B,residual_load_xmk_mean,0.06655753758891515
Market B,load_forecast_roll_mean_6,0.06501597297696833
Market B,air_temperature_2m,0.06347506981485462
Market B,cloud_low_share,0.062200789018879384
Market B,dow,0.06007421335027382
Market B,cloud_cover_mid,0.05765334554223994
Market B,gust_ratio_10m,0.0568119883000799
Market B,relative_humidity_2m,0.05674057740283592
Market B,residual_load_1819,0.049562303454874
Market B,hour,0.04892779722000056
Market B,ws80_medium_cubic,0.04590559499223005
Market B,cloud_cover_high,0.042265794407700376
Market B,month_x_market,0.04183005544382345
Market B,cloud_x_solar,0.037519146545615285
Market B,hour_x_market,0.03713307087872019
Market B,stress_ratio_1819,0.030766323942321573
Market B,wind_forecast_xmk_z,0.021008796446420824
Market B,ws80_below_cutin,0.017467606086110244
Market B,load_forecast_xmk_diff,0.017259020089445458
Market B,is_weekend,0.01708666725575734
Market B,solar_forecast_xmk_diff,0.015926424091685952
Market B,load_forecast_xmk_z,0.01273759597125525
Market B,month,0.01137612363948552
Market B,dow_x_market,0.010162443394454901
Market B,precipitation_amount_xmk_mean,0.009303291652967229
Market B,solar_forecast_xmk_z,0.009268336820300182
Market B,residual_load_xmk_diff,0.00737801609872782
Market B,is_peak_17_20,0.007094800024206105
Market B,ws80_bin_high,0.005941023157360723
Market B,wind_forecast_xmk_diff,0.005733257869653182
Market B,precipitation_amount_xmk_z,0.0055963651690457295
Market B,ws80_bin_low,0.0045239222671981235
Market B,residual_load_xmk_z,0.0042219998976183
Market B,ws80_high_flat,0.00417307160139602
Market B,precipitation_amount_xmk_diff,0.003671540178693497
Market B,precipitation_amount_xmk_std,0.0035020929661195
Market B,precipitation_amount,0.0025683429048190946
Market B,is_morning_peak,0.0008565604137916276
Market B,meteo_missing_count,0.00034187578217853066
Market B,market,0.0
Market B,is_evening_peak,0.0
Market B,is_winter,0.0
Market B,is_18_19,0.0
Market B,is_night,0.0
Market B,ws80_bin_medium,0.0
Market B,ws80_bin_cutout,0.0
Market B,load_forecast_xmk_std,0.0
Market B,wind_forecast_xmk_std,0.0
Market B,solar_forecast_xmk_std,0.0
Market B,residual_load_xmk_std,0.0
Market B,meteo_missing_any,0.0
Market B,target_profile_m_mean,0.0
Market B,target_profile_m_std,0.0
Market C,global_pred_feature,14.837712198360984
Market C,target_profile_mhd_std,2.9233515204731555
Market C,stress_ratio,1.0708433004548574
Market C,target_profile_mhd_mean,1.0593029261741156
Market C,residual_load_diff_6,0.9866520281344221
Market C,solar_forecast_roll_std_72,0.8229433543047002
Market C,residual_load_diff_24,0.7557339174972171
Market C,cloud_x_solar,0.6956019089773818
Market C,wind_gust_speed_10m,0.6488413060172062
Market C,stress_ratio_sq,0.6427641553261444
Market C,wind_speed_80m_xmk_mean,0.5980446279666872
Market C,gustiness_10m,0.5882491131588409
Market C,wind_speed_80m_xmk_diff,0.5792154590060461
Market C,residual_load_roll_std_6,0.5217448374192561
Market C,wind_forecast_lag_1,0.5089192734774214
Market C,convective_available_potential_energy,0.4786022532210326
Market C,freezing_level_height,0.4444800368878357
Market C,cloud_cover_total_xmk_mean,0.44275892913926024
Market C,solar_forecast_diff_24,0.4271490264072859
Market C,wind_speed_80m_xmk_z,0.42354966929754717
Market C,wind_forecast_diff_24,0.41977955033418163
Market C,wind_forecast_diff_6,0.41884553245609796
Market C,wind_forecast_lag_2,0.3858611832033618
Market C,surface_pressure,0.38531778172174114
Market C,wind_speed_80m_xmk_std,0.3707923640179883
Market C,wind_forecast_roll_std_72,0.36766210675500566
Market C,lifted_index,0.3660671893791848
Market C,solar_forecast_xmk_mean,0.34245091017496926
Market C,cloud_cover_total_xmk_z,0.31429100290290257
Market C,month_sin,0.3126652296802476
Market C,cloud_cover_low,0.3020098097483034
Market C,residual_load_roll_std_72,0.28496718212160427
Market C,cloud_low_share,0.28479233329299886
Market C,air_temperature_2m_xmk_diff,0.2623978407260763
Market C,solar_forecast_roll_mean_24,0.25249236296053207
Market C,wind_forecast_roll_std_24,0.24900012375759506
Market C,solar_forecast_roll_mean_72,0.2308800101329187
Market C,residual_load_roll_mean_72,0.22855340672192154
Market C,diffuse_horizontal_irradiance,0.22688940623451764
Market C,apparent_temperature_2m,0.22315868223503
Market C,air_temperature_2m,0.2210404431075727
Market C,residual_load_lag_1,0.21983034613024205
Market C,residual_load,0.21627964888026738
Market C,residual_load_lag_2,0.21149695049632022
Market C,convective_inhibition,0.2108711472898115
Market C,wind_speed_10m,0.21046027958807303
Market C,solar_forecast_lag_48,0.21012748502262435
Market C,wind80_x_residual_load,0.20298857761836472
Market C,wind_forecast_lag_48,0.20040593185158237
Market C,load_forecast_diff_24,0.1995510060005261
Market C,wind_forecast_lag_6,0.19858114397437243
Market C,residual_load_lag_24,0.197853776106062
Market C,load_forecast_lag_1,0.19777407440379335
Market C,residual_load_sq,0.19687136417025852
Market C,load_forecast,0.19187261535314004
Market C,wind_forecast_diff_1,0.19159788812155643
Market C,solar_forecast,0.18932356499109151
Market C,wind_share,0.1870246283756638
Market C,load_forecast_roll_std_72,0.17856897803910057
Market C,wind_forecast_roll_mean_6,0.17668348938990916
Market C,target_profile_mh_std,0.17288087204424035
Market C,residual_load_lag_48,0.16551576080084124
Market C,dow_cos,0.16507754389230395
Market C,residual_load_roll_std_24,0.15940406164961876
Market C,air_temperature_2m_xmk_std,0.158620839284298
Market C,load_forecast_lag_168,0.15848978656728424
Market C,weekofyear,0.15829210464356652
Market C,wind_forecast_lag_24,0.1526929947481954
Market C,solar_forecast_roll_std_24,0.1524749544612
Market C,wind_forecast_roll_mean_72,0.1513880470375022
Market C,clear_sky_proxy,0.151343915717609
Market C,wind_dir_cos,0.15066097691214278
Market C,load_forecast_roll_mean_6,0.15056190257226332
Market C,solar_forecast_diff_1,0.1492601216502991
Market C,load_forecast_roll_mean_72,0.14849392092121355
Market C,direct_normal_irradiance,0.14391482960053067
Market C,wind_forecast_lag_168,0.1387690319684392
Market C,load_forecast_roll_mean_24,0.13695599441349615
Market C,wind_forecast_roll_mean_24,0.1330724470045348
Market C,air_temperature_2m_xmk_z,0.13182906748799111
Market C,load_forecast_lag_6,0.1313718044187071
Market C,load_forecast_lag_48,0.13088325285678698
Market C,wind_direction_80m,0.12642723347898666
Market C,wind_dir_sin,0.1264114699552273
Market C,net_load_share,0.12620664968455458
Market C,solar_share,0.12498701451801213
Market C,residual_load_roll_mean_24,0.12476016101796052
Market C,air_temperature_2m_xmk_mean,0.12096902360135874
Market C,wet_bulb_temperature_2m,0.11974942447576586
Market C,dow,0.11914882023636697
Market C,wind_forecast_roll_std_6,0.11658036241310941
Market C,gust_ratio_10m,0.11466819532675418
Market C,solar_forecast_lag_168,0.1137537546800476
Market C,residual_load_diff_1,0.1120124131786822
Market C,ws80_cu,0.11044357964409199
Market C,cloud_cover_total,0.10781463353194255
Market C,target_profile_mh_mean,0.10742398891856711
Market C,global_horizontal_irradiance,0.10075273044657253
Market C,month_cos,0.09611575737613463
Market C,solar_forecast_lag_6,0.09460695362317256
Market C,ws_ratio_80_10,0.0944439363397465
Market C,load_forecast_lag_24,0.09358668857035482
Market C,solar_forecast_lag_1,0.08848467314258875
Market C,dew_point_temperature_2m,0.08755338965950513
Market C,ws80_above_cutin,0.08650957623087235
Market C,load_forecast_roll_std_24,0.08622017531566005
Market C,wind_forecast_xmk_mean,0.08421260853568224
Market C,temp_apparent_gap,0.0829103831487437
Market C,load_forecast_roll_std_6,0.07832489931006338
Market C,load_forecast_diff_1,0.076674183042603
Market C,month,0.07657336620669582
Market C,wind_speed_80m,0.07125388695685043
Market C,visibility,0.0708871767818053
Market C,cloud_cover_total_xmk_diff,0.07010945620886692
Market C,solar_forecast_roll_mean_6,0.06917288713301788
Market C,dow_sin,0.06835063229901635
Market C,stress_ratio_1819,0.06810466787665494
Market C,solar_forecast_lag_24,0.06564691247472254
Market C,load_forecast_diff_6,0.0653636362620089
Market C,residual_load_1819,0.0619997434549661
Market C,solar_forecast_roll_std_6,0.06157782437953394
Market C,month_x_market,0.061040364909179454
Market C,residual_load_lag_6,0.059639865759441496
Market C,residual_load_lag_168,0.05872285458077589
Market C,is_weekend,0.058432368844818304
Market C,cloud_cover_total_xmk_std,0.05842169978233572
Market C,ws80_sq,0.058366637940862776
Market C,ws80_medium_cubic,0.056750651934059385
Market C,relative_humidity_2m,0.05574374876953819
Market C,solar_forecast_diff_6,0.051661008748950896
Market C,residual_load_xmk_mean,0.051404869313551316
Market C,residual_load_roll_mean_6,0.04826783610217483
Market C,wind_forecast,0.04767004174596907
Market C,dow_x_market,0.044429568230077744
Market C,solar_forecast_lag_2,0.04281023175682896
Market C,temp_dew_spread,0.042673206160673736
Market C,ws80_bin_high,0.042405959465027496
Market C,cloud_cover_mid,0.0401901351633781
Market C,ws80_above_rated,0.03814011176945812
Market C,hour_cos,0.03290711637268377
Market C,hour_sin,0.0324248936096569
Market C,load_forecast_lag_2,0.02719453000198326
Market C,cloud_cover_high,0.025558799497825916
Market C,hour,0.02474827104035365
Market C,solar_forecast_xmk_diff,0.023327102333100792
Market C,hour_x_market,0.02130568482454168
Market C,precipitation_amount_xmk_z,0.019256793335945675
Market C,precipitation_amount_xmk_diff,0.013564867482597056
Market C,solar_forecast_xmk_z,0.011984165664354975
Market C,load_forecast_xmk_mean,0.00897307822405481
Market C,load_forecast_xmk_diff,0.008627695856097128
Market C,ws80_bin_medium,0.007612225905622387
Market C,wind_forecast_xmk_diff,0.006987315928989124
Market C,precipitation_amount_xmk_mean,0.006885384675053473
Market C,residual_load_xmk_diff,0.006665781623154865
Market C,load_forecast_xmk_z,0.005679851195969459
Market C,residual_load_xmk_z,0.003606771102981697
Market C,precipitation_amount_xmk_std,0.003454444649219818
Market C,ws80_bin_low,0.0033331745419614522
Market C,wind_forecast_xmk_z,0.0029398479296484682
Market C,ws80_below_cutin,0.002232176666757248
Market C,precipitation_amount,0.001919754565313036
Market C,meteo_missing_any,0.0014407323876155292
Market C,meteo_missing_count,0.00041755524458397044
Market C,market,0.0
Market C,is_morning_peak,0.0
Market C,is_evening_peak,0.0
Market C,is_winter,0.0
Market C,is_18_19,0.0
Market C,is_peak_17_20,0.0
Market C,is_night,0.0
Market C,ws80_bin_cutout,0.0
Market C,ws80_high_flat,0.0
Market C,load_forecast_xmk_std,0.0
Market C,wind_forecast_xmk_std,0.0
Market C,solar_forecast_xmk_std,0.0
Market C,residual_load_xmk_std,0.0
Market C,target_profile_m_mean,0.0
Market C,target_profile_m_std,0.0
Market D,global_pred_feature,24.86302374815818
