fold,feature,baseline_rmse,rmse_permuted,delta,n_val_rows
1,air_temperature_2m,44.54650467336849,44.51303277216964,-0.03347190119885113,2016
1,apparent_temperature_2m,44.54650467336849,43.575091694851906,-0.9714129785165824,2016
1,clear_sky_proxy,44.54650467336849,44.56896563709091,0.022460963722423344,2016
1,cloud_cover_low,44.54650467336849,44.54123439316128,-0.005270280207206213,2016
1,cloud_cover_total,44.54650467336849,44.53011171737737,-0.016392955991115343,2016
1,cloud_low_share,44.54650467336849,44.53010979939059,-0.016394873977901625,2016
1,convective_available_potential_energy,44.54650467336849,44.62451258727492,0.07800791390643269,2016
1,convective_inhibition,44.54650467336849,44.605013145024785,0.058508471656296024,2016
1,dew_point_temperature_2m,44.54650467336849,44.53211137804199,-0.014393295326499356,2016
1,diffuse_horizontal_irradiance,44.54650467336849,44.30760450809851,-0.2389001652699818,2016
1,direct_normal_irradiance,44.54650467336849,44.55484348574113,0.008338812372642224,2016
1,freezing_level_height,44.54650467336849,44.51575201659111,-0.030752656777380594,2016
1,global_horizontal_irradiance,44.54650467336849,44.76948262602018,0.2229779526516893,2016
1,gust_ratio_10m,44.54650467336849,44.5567767005908,0.010272027222313795,2016
1,gustiness_10m,44.54650467336849,44.48722965502783,-0.059275018340656516,2016
1,load_forecast,44.54650467336849,44.636261484428566,0.08975681106007727,2016
1,load_forecast_lag_1,44.54650467336849,44.81575954344605,0.2692548700775603,2016
1,load_forecast_lag_2,44.54650467336849,44.87110112317317,0.3245964498046803,2016
1,load_forecast_lag_6,44.54650467336849,44.53839610896783,-0.00810856440065777,2016
1,load_forecast_roll_mean_24,44.54650467336849,44.62711144645013,0.08060677308164088,2016
1,load_forecast_roll_mean_6,44.54650467336849,44.77535669108194,0.2288520177134501,2016
1,precipitation_amount,44.54650467336849,44.61159145429407,0.06508678092558284,2016
1,relative_humidity_2m,44.54650467336849,44.549869916413016,0.003365243044527233,2016
1,residual_load_lag_1,44.54650467336849,47.17110424539878,2.6245995720302915,2016
1,residual_load_lag_2,44.54650467336849,44.70585271364154,0.15934804027305205,2016
1,residual_load_lag_6,44.54650467336849,45.04092296020482,0.4944182868363285,2016
1,residual_load_roll_mean_24,44.54650467336849,111.97197747096907,67.42547279760058,2016
1,residual_load_roll_mean_6,44.54650467336849,44.601840019020045,0.05533534565155662,2016
1,solar_forecast,44.54650467336849,44.68193374585854,0.13542907249004799,2016
1,solar_forecast_diff_1,44.54650467336849,57.91999658755039,13.373491914181905,2016
1,solar_forecast_lag_1,44.54650467336849,45.17536352583051,0.6288588524620238,2016
1,solar_forecast_lag_2,44.54650467336849,46.337163839472424,1.7906591661039357,2016
1,solar_forecast_lag_6,44.54650467336849,44.29917361995912,-0.24733105340936845,2016
1,solar_forecast_roll_mean_24,44.54650467336849,44.472516130014164,-0.07398854335432503,2016
1,solar_forecast_roll_mean_6,44.54650467336849,45.338524989695415,0.7920203163269264,2016
1,temp_apparent_gap,44.54650467336849,44.5495573224538,0.003052649085311998,2016
1,temp_dew_spread,44.54650467336849,44.302670109108256,-0.24383456426023287,2016
1,wind_dir_cos,44.54650467336849,44.48331031218773,-0.06319436118075572,2016
1,wind_dir_sin,44.54650467336849,44.50678984780818,-0.03971482556030992,2016
1,wind_direction_80m,44.54650467336849,44.54237448698093,-0.004130186387556023,2016
1,wind_forecast,44.54650467336849,44.339828646012606,-0.20667602735588275,2016
1,wind_forecast_diff_1,44.54650467336849,44.55385706284263,0.00735238947414274,2016
1,wind_forecast_diff_6,44.54650467336849,44.49676343062931,-0.04974124273918079,2016
1,wind_forecast_lag_1,44.54650467336849,44.24195237260289,-0.30455230076560014,2016
1,wind_forecast_lag_2,44.54650467336849,44.5247775077933,-0.021727165575185836,2016
1,wind_forecast_lag_6,44.54650467336849,44.64793706934518,0.10143239597669407,2016
1,wind_forecast_roll_mean_24,44.54650467336849,46.982479705526735,2.4359750321582467,2016
1,wind_forecast_roll_mean_6,44.54650467336849,44.655632872400474,0.10912819903198567,2016
1,wind_gust_speed_10m,44.54650467336849,44.52427200818633,-0.02223266518215894,2016
1,wind_speed_10m,44.54650467336849,44.55974000620643,0.013235332837943758,2016
1,wind_speed_80m,44.54650467336849,44.56038836585003,0.013883692481542198,2016
1,ws_ratio_80_10,44.54650467336849,44.62467308814368,0.07816841477519176,2016
2,air_temperature_2m,59.73428066529634,60.83882642397244,1.1045457586761032,2016
2,apparent_temperature_2m,59.73428066529634,59.507798852796896,-0.22648181249944344,2016
2,clear_sky_proxy,59.73428066529634,59.47906913681939,-0.2552115284769485,2016
2,cloud_cover_low,59.73428066529634,59.738967999088516,0.004687333792176673,2016
2,cloud_cover_total,59.73428066529634,59.85828472763139,0.12400406233505379,2016
2,cloud_low_share,59.73428066529634,59.70774668444127,-0.026533980855070638,2016
2,convective_available_potential_energy,59.73428066529634,60.3378900976689,0.6036094323725578,2016
2,convective_inhibition,59.73428066529634,59.73797251723587,0.00369185193952859,2016
2,dew_point_temperature_2m,59.73428066529634,59.798387939622465,0.06410727432612617,2016
2,diffuse_horizontal_irradiance,59.73428066529634,59.8614437370604,0.12716307176405905,2016
2,direct_normal_irradiance,59.73428066529634,63.34669249099279,3.612411825696448,2016
2,freezing_level_height,59.73428066529634,59.63852790271648,-0.09575276257985621,2016
2,global_horizontal_irradiance,59.73428066529634,60.21968598194955,0.48540531665321396,2016
2,gust_ratio_10m,59.73428066529634,59.59328070756508,-0.1409999577312604,2016
2,gustiness_10m,59.73428066529634,59.53843021231519,-0.19585045298114778,2016
2,load_forecast,59.73428066529634,59.84219425760744,0.10791359231109965,2016
2,load_forecast_lag_1,59.73428066529634,60.08304221128511,0.34876154598877207,2016
2,load_forecast_lag_2,59.73428066529634,59.78798089577282,0.05370023047647976,2016
2,load_forecast_lag_6,59.73428066529634,67.83134270345415,8.097062038157816,2016
2,load_forecast_roll_mean_24,59.73428066529634,59.53572566213236,-0.19855500316398178,2016
2,load_forecast_roll_mean_6,59.73428066529634,59.89660864299596,0.1623279776996185,2016
2,precipitation_amount,59.73428066529634,59.733238964880314,-0.0010417004160245824,2016
2,relative_humidity_2m,59.73428066529634,59.601693124449326,-0.13258754084701252,2016
2,residual_load_lag_1,59.73428066529634,65.76588082093923,6.0316001556428915,2016
2,residual_load_lag_2,59.73428066529634,59.78542783067639,0.05114716538005126,2016
2,residual_load_lag_6,59.73428066529634,59.732145482025295,-0.0021351832710436724,2016
2,residual_load_roll_mean_24,59.73428066529634,89.8930611812107,30.15878051591436,2016
2,residual_load_roll_mean_6,59.73428066529634,59.66287443313113,-0.07140623216520936,2016
2,solar_forecast,59.73428066529634,64.75070412830789,5.016423463011549,2016
2,solar_forecast_diff_1,59.73428066529634,64.00821879777796,4.273938132481618,2016
2,solar_forecast_lag_1,59.73428066529634,59.470251280169855,-0.26402938512648433,2016
2,solar_forecast_lag_2,59.73428066529634,65.7385726949823,6.004292029685956,2016
2,solar_forecast_lag_6,59.73428066529634,59.9407226230882,0.20644195779185992,2016
2,solar_forecast_roll_mean_24,59.73428066529634,59.871990874346395,0.1377102090500557,2016
2,solar_forecast_roll_mean_6,59.73428066529634,60.449764717331774,0.7154840520354355,2016
2,temp_apparent_gap,59.73428066529634,59.74757955929682,0.013298894000477901,2016
2,temp_dew_spread,59.73428066529634,59.202143380701436,-0.5321372845949028,2016
2,wind_dir_cos,59.73428066529634,59.456914148634915,-0.27736651666142365,2016
2,wind_dir_sin,59.73428066529634,59.6308821828804,-0.10339848241594041,2016
2,wind_direction_80m,59.73428066529634,59.680077510662976,-0.054203154633363226,2016
2,wind_forecast,59.73428066529634,59.769734307058044,0.03545364176170551,2016
2,wind_forecast_diff_1,59.73428066529634,59.48232304404274,-0.2519576212536023,2016
2,wind_forecast_diff_6,59.73428066529634,59.785550561609476,0.05126989631313705,2016
2,wind_forecast_lag_1,59.73428066529634,59.984256748902425,0.2499760836060858,2016
2,wind_forecast_lag_2,59.73428066529634,59.7722285788786,0.0379479135822578,2016
2,wind_forecast_lag_6,59.73428066529634,59.7408563972732,0.006575731976859345,2016
2,wind_forecast_roll_mean_24,59.73428066529634,60.25566204718515,0.5213813818888084,2016
2,wind_forecast_roll_mean_6,59.73428066529634,59.810431878128156,0.07615121283181736,2016
2,wind_gust_speed_10m,59.73428066529634,59.55749930559058,-0.1767813597057568,2016
2,wind_speed_10m,59.73428066529634,59.40348270484967,-0.33079796044666665,2016
2,wind_speed_80m,59.73428066529634,59.22936363808048,-0.5049170272158605,2016
2,ws_ratio_80_10,59.73428066529634,59.223209467556,-0.5110711977403355,2016
3,air_temperature_2m,132.66086913973479,135.14026211849227,2.479392978757488,2016
3,apparent_temperature_2m,132.66086913973479,138.78934459346854,6.128475453733756,2016
3,clear_sky_proxy,132.66086913973479,131.99078556943678,-0.6700835702980044,2016
3,cloud_cover_low,132.66086913973479,132.69092445451562,0.03005531478083867,2016
3,cloud_cover_total,132.66086913973479,126.665541062174,-5.995328077560785,2016
3,cloud_low_share,132.66086913973479,132.48418993841005,-0.17667920132473114,2016
3,convective_available_potential_energy,132.66086913973479,129.41417850849936,-3.246690631235424,2016
3,convective_inhibition,132.66086913973479,147.60775963037807,14.946890490643284,2016
3,dew_point_temperature_2m,132.66086913973479,131.31752166112847,-1.3433474786063186,2016
3,diffuse_horizontal_irradiance,132.66086913973479,131.41735366426664,-1.2435154754681434,2016
3,direct_normal_irradiance,132.66086913973479,132.58787811494466,-0.07299102479012731,2016
3,freezing_level_height,132.66086913973479,136.4283928334689,3.7675236937341197,2016
3,global_horizontal_irradiance,132.66086913973479,132.45198242663062,-0.20888671310416385,2016
3,gust_ratio_10m,132.66086913973479,135.04863037083857,2.387761231103781,2016
3,gustiness_10m,132.66086913973479,136.30029807548894,3.639428935754154,2016
3,load_forecast,132.66086913973479,154.75200552867898,22.091136388944193,2016
3,load_forecast_lag_1,132.66086913973479,130.09858544497317,-2.562283694761618,2016
3,load_forecast_lag_2,132.66086913973479,129.12287446784106,-3.5379946718937276,2016
3,load_forecast_lag_6,132.66086913973479,131.5783187801633,-1.082550359571485,2016
3,load_forecast_roll_mean_24,132.66086913973479,132.7081567576352,0.04728761790042313,2016
3,load_forecast_roll_mean_6,132.66086913973479,130.59233155651705,-2.068537583217733,2016
3,precipitation_amount,132.66086913973479,132.6661301962187,0.005261056483902848,2016
3,relative_humidity_2m,132.66086913973479,130.22833589667707,-2.432533243057719,2016
3,residual_load_lag_1,132.66086913973479,120.2165804432393,-12.44428869649549,2016
3,residual_load_lag_2,132.66086913973479,120.60939228911927,-12.051476850615515,2016
3,residual_load_lag_6,132.66086913973479,126.24453944874858,-6.416329690986203,2016
3,residual_load_roll_mean_24,132.66086913973479,185.43976977199435,52.778900632259564,2016
3,residual_load_roll_mean_6,132.66086913973479,131.42200873626598,-1.2388604034688058,2016
3,solar_forecast,132.66086913973479,136.53705851647072,3.8761893767359368,2016
3,solar_forecast_diff_1,132.66086913973479,116.62641408821405,-16.034455051520737,2016
3,solar_forecast_lag_1,132.66086913973479,130.90568622343937,-1.7551829162954107,2016
3,solar_forecast_lag_2,132.66086913973479,130.90685422145262,-1.7540149182821665,2016
3,solar_forecast_lag_6,132.66086913973479,131.13979263626243,-1.521076503472358,2016
3,solar_forecast_roll_mean_24,132.66086913973479,133.12721467579271,0.46634553605792917,2016
3,solar_forecast_roll_mean_6,132.66086913973479,135.6699379467707,3.009068807035902,2016
3,temp_apparent_gap,132.66086913973479,131.52286314944206,-1.1380059902927258,2016
3,temp_dew_spread,132.66086913973479,134.867848536884,2.2069793971492118,2016
3,wind_dir_cos,132.66086913973479,131.1797706607553,-1.4810984789794759,2016
3,wind_dir_sin,132.66086913973479,133.1233086612961,0.46243952156132195,2016
3,wind_direction_80m,132.66086913973479,131.97550506895988,-0.6853640707749094,2016
3,wind_forecast,132.66086913973479,131.0949635935655,-1.5659055461692901,2016
3,wind_forecast_diff_1,132.66086913973479,126.27579024913082,-6.385078890603964,2016
3,wind_forecast_diff_6,132.66086913973479,120.71659215134785,-11.944276988386932,2016
3,wind_forecast_lag_1,132.66086913973479,131.05144444486118,-1.60942469487361,2016
3,wind_forecast_lag_2,132.66086913973479,128.26402623239343,-4.396842907341352,2016
3,wind_forecast_lag_6,132.66086913973479,128.70106672343778,-3.959802416297009,2016
3,wind_forecast_roll_mean_24,132.66086913973479,145.98794528257662,13.327076142841833,2016
3,wind_forecast_roll_mean_6,132.66086913973479,130.53789650973033,-2.1229726300044547,2016
3,wind_gust_speed_10m,132.66086913973479,132.0579833190433,-0.6028858206914833,2016
3,wind_speed_10m,132.66086913973479,131.04274933601724,-1.6181198037175477,2016
3,wind_speed_80m,132.66086913973479,131.23811451988206,-1.422754619852725,2016
3,ws_ratio_80_10,132.66086913973479,124.9568268876321,-7.704042252102681,2016
4,air_temperature_2m,62.8859764735929,75.23898007860672,12.353003605013818,2016
4,apparent_temperature_2m,62.8859764735929,68.32973799204348,5.443761518450579,2016
4,clear_sky_proxy,62.8859764735929,62.502184658908575,-0.3837918146843222,2016
4,cloud_cover_low,62.8859764735929,62.429765688182194,-0.45621078541070403,2016
4,cloud_cover_total,62.8859764735929,60.699057296988,-2.1869191766048957,2016
4,cloud_low_share,62.8859764735929,63.112468741242765,0.22649226764986707,2016
4,convective_available_potential_energy,62.8859764735929,64.06795539530333,1.1819789217104315,2016
4,convective_inhibition,62.8859764735929,58.64123662066516,-4.2447398529277365,2016
4,dew_point_temperature_2m,62.8859764735929,63.77566274344542,0.8896862698525254,2016
4,diffuse_horizontal_irradiance,62.8859764735929,61.45530862927437,-1.4306678443185277,2016
4,direct_normal_irradiance,62.8859764735929,62.27247999787638,-0.6134964757165164,2016
4,freezing_level_height,62.8859764735929,59.74705107203812,-3.138925401554779,2016
4,global_horizontal_irradiance,62.8859764735929,62.439787861410714,-0.4461886121821834,2016
4,gust_ratio_10m,62.8859764735929,63.27911349321489,0.3931370196219959,2016
4,gustiness_10m,62.8859764735929,61.649565080969225,-1.2364113926236726,2016
4,load_forecast,62.8859764735929,62.85653043906972,-0.029446034523175513,2016
4,load_forecast_lag_1,62.8859764735929,71.79686238867976,8.910885915086858,2016
4,load_forecast_lag_2,62.8859764735929,62.70981315787619,-0.17616331571670685,2016
4,load_forecast_lag_6,62.8859764735929,56.282497417154154,-6.6034790564387436,2016
4,load_forecast_roll_mean_24,62.8859764735929,63.037742675818045,0.15176620222514714,2016
4,load_forecast_roll_mean_6,62.8859764735929,62.78680633112079,-0.09917014247210432,2016
4,precipitation_amount,62.8859764735929,62.8887415748015,0.002765101208602516,2016
4,relative_humidity_2m,62.8859764735929,63.69469581344574,0.8087193398528427,2016
4,residual_load_lag_1,62.8859764735929,63.00379097609987,0.1178145025069739,2016
4,residual_load_lag_2,62.8859764735929,63.180120278535576,0.2941438049426779,2016
4,residual_load_lag_6,62.8859764735929,80.28048913566134,17.394512662068443,2016
4,residual_load_roll_mean_24,62.8859764735929,62.27902442713126,-0.606952046461636,2016
4,residual_load_roll_mean_6,62.8859764735929,62.82360845645762,-0.0623680171352774,2016
4,solar_forecast,62.8859764735929,92.12593665098603,29.239960177393137,2016
4,solar_forecast_diff_1,62.8859764735929,58.30108717128003,-4.584889302312867,2016
4,solar_forecast_lag_1,62.8859764735929,65.18954932336965,2.3035728497767494,2016
4,solar_forecast_lag_2,62.8859764735929,72.132402858286,9.246426384693102,2016
4,solar_forecast_lag_6,62.8859764735929,63.51723201934781,0.6312555457549109,2016
4,solar_forecast_roll_mean_24,62.8859764735929,64.21802046059595,1.332043987003054,2016
4,solar_forecast_roll_mean_6,62.8859764735929,63.46645811859771,0.5804816450048094,2016
4,temp_apparent_gap,62.8859764735929,64.79091350357156,1.9049370299786617,2016
4,temp_dew_spread,62.8859764735929,63.51938387712615,0.6334074035332549,2016
4,wind_dir_cos,62.8859764735929,63.081923868168865,0.19594739457596688,2016
4,wind_dir_sin,62.8859764735929,68.56029839391928,5.674321920326385,2016
4,wind_direction_80m,62.8859764735929,63.10426160083438,0.21828512724147942,2016
4,wind_forecast,62.8859764735929,64.3877295016094,1.501753028016502,2016
4,wind_forecast_diff_1,62.8859764735929,57.937141332633296,-4.948835140959602,2016
4,wind_forecast_diff_6,62.8859764735929,66.4120061982063,3.5260297246134016,2016
4,wind_forecast_lag_1,62.8859764735929,62.24487652606003,-0.6410999475328651,2016
4,wind_forecast_lag_2,62.8859764735929,62.17757344677025,-0.7084030268226442,2016
4,wind_forecast_lag_6,62.8859764735929,63.04218851903206,0.15621204543916178,2016
4,wind_forecast_roll_mean_24,62.8859764735929,99.84879389016362,36.96281741657072,2016
4,wind_forecast_roll_mean_6,62.8859764735929,63.21036421719608,0.32438774360318234,2016
4,wind_gust_speed_10m,62.8859764735929,62.52603587157742,-0.3599406020154774,2016
4,wind_speed_10m,62.8859764735929,63.46476180242482,0.5787853288319198,2016
4,wind_speed_80m,62.8859764735929,62.61217017564152,-0.27380629795137423,2016
4,ws_ratio_80_10,62.8859764735929,57.55337221890224,-5.332604254690658,2016
5,air_temperature_2m,81.1418092947197,81.03125367970829,-0.11055561501142108,2016
5,apparent_temperature_2m,81.1418092947197,91.86604720057038,10.724237905850671,2016
5,clear_sky_proxy,81.1418092947197,80.95664404633597,-0.18516524838373982,2016
5,cloud_cover_low,81.1418092947197,81.19913259428284,0.0573232995631372,2016
5,cloud_cover_total,81.1418092947197,81.42977759572781,0.28796830100810666,2016
5,cloud_low_share,81.1418092947197,80.9458887183432,-0.1959205763765084,2016
5,convective_available_potential_energy,81.1418092947197,83.54171738489408,2.399908090174378,2016
5,convective_inhibition,81.1418092947197,78.7530766462314,-2.3887326484883005,2016
5,dew_point_temperature_2m,81.1418092947197,80.66935765027144,-0.47245164444827026,2016
5,diffuse_horizontal_irradiance,81.1418092947197,80.90825738836635,-0.23355190635335532,2016
5,direct_normal_irradiance,81.1418092947197,81.96296326433749,0.8211539696177823,2016
5,freezing_level_height,81.1418092947197,80.73862711468703,-0.4031821800326725,2016
5,global_horizontal_irradiance,81.1418092947197,79.28905163084279,-1.8527576638769148,2016
5,gust_ratio_10m,81.1418092947197,80.8220218060818,-0.31978748863789974,2016
5,gustiness_10m,81.1418092947197,81.26391075919595,0.12210146447624481,2016
5,load_forecast,81.1418092947197,97.29148660358966,16.149677308869954,2016
5,load_forecast_lag_1,81.1418092947197,88.06654210396105,6.924732809241348,2016
5,load_forecast_lag_2,81.1418092947197,79.02723341817067,-2.11457587654904,2016
5,load_forecast_lag_6,81.1418092947197,79.10014510056082,-2.0416641941588836,2016
5,load_forecast_roll_mean_24,81.1418092947197,79.09500503130661,-2.046804263413094,2016
5,load_forecast_roll_mean_6,81.1418092947197,79.0992693696434,-2.042539925076312,2016
5,precipitation_amount,81.1418092947197,81.12892820969842,-0.012881085021291483,2016
5,relative_humidity_2m,81.1418092947197,81.30362748695282,0.16181819223311322,2016
5,residual_load_lag_1,81.1418092947197,81.38338278141285,0.2415734866931416,2016
5,residual_load_lag_2,81.1418092947197,82.30025304335689,1.1584437486371826,2016
5,residual_load_lag_6,81.1418092947197,87.2489346218259,6.107125327106189,2016
5,residual_load_roll_mean_24,81.1418092947197,81.06047294317868,-0.08133635154102592,2016
5,residual_load_roll_mean_6,81.1418092947197,81.04295191187366,-0.09885738284604884,2016
5,solar_forecast,81.1418092947197,108.26644892852863,27.124639633808926,2016
5,solar_forecast_diff_1,81.1418092947197,117.8879553797472,36.74614608502749,2016
5,solar_forecast_lag_1,81.1418092947197,82.27477265877282,1.1329633640531114,2016
5,solar_forecast_lag_2,81.1418092947197,110.16818826683253,29.026378972112823,2016
5,solar_forecast_lag_6,81.1418092947197,80.15704491755695,-0.9847643771627617,2016
5,solar_forecast_roll_mean_24,81.1418092947197,80.8894341098863,-0.2523751848334115,2016
5,solar_forecast_roll_mean_6,81.1418092947197,81.72270492656878,0.5808956318490743,2016
5,temp_apparent_gap,81.1418092947197,82.28404456025781,1.1422352655381047,2016
5,temp_dew_spread,81.1418092947197,81.26258864706203,0.12077935234232484,2016
5,wind_dir_cos,81.1418092947197,80.9584030955382,-0.1834061991815048,2016
5,wind_dir_sin,81.1418092947197,81.51410204071051,0.372292745990805,2016
5,wind_direction_80m,81.1418092947197,81.56863135265269,0.42682205793298067,2016
5,wind_forecast,81.1418092947197,86.61101393284929,5.4692046381295825,2016
5,wind_forecast_diff_1,81.1418092947197,81.09497722712068,-0.04683206759902703,2016
5,wind_forecast_diff_6,81.1418092947197,79.63202719540203,-1.5097820993176754,2016
5,wind_forecast_lag_1,81.1418092947197,79.93385331998495,-1.2079559747347588,2016
5,wind_forecast_lag_2,81.1418092947197,80.9714232994982,-0.17038599522150832,2016
5,wind_forecast_lag_6,81.1418092947197,81.38194269390942,0.2401333991897161,2016
5,wind_forecast_roll_mean_24,81.1418092947197,86.0985964540323,4.956787159312597,2016
5,wind_forecast_roll_mean_6,81.1418092947197,83.00422783505161,1.8624185403319018,2016
5,wind_gust_speed_10m,81.1418092947197,81.691433359799,0.5496240650792998,2016
5,wind_speed_10m,81.1418092947197,81.06420014568714,-0.07760914903256833,2016
5,wind_speed_80m,81.1418092947197,78.93647344732767,-2.2053358473920355,2016
5,ws_ratio_80_10,81.1418092947197,77.4023987821292,-3.73941051259051,2016
